image_urls,station_url,genre,images,name
http://resources.live24.gr/resources/images/stations/034e647b-a919-4064-adab-128f5d731b54.png,/radio/generic.jsp?sid=2845,Διεθνής Μουσική,"[{'url': 'http://resources.live24.gr/resources/images/stations/034e647b-a919-4064-adab-128f5d731b54.png', 'checksum': '3c76cc416d3ecfa45b07aff6f9aea0c8', 'path': 'full/234d86663926d16eedf6804841436ae4a2ad1834.jpg'}]",Magicstar Radio Greece 
http://resources.live24.gr/resources/images/stations/2ebfed08-f9a1-4d83-851c-712c4fb4ce14.png,/radio/generic.jsp?sid=3008,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/2ebfed08-f9a1-4d83-851c-712c4fb4ce14.png', 'checksum': '8fa95da5e52042936f880f3426267c7a', 'path': 'full/bf2525bb6d78e170e776e6a35848648c52736508.jpg'}]",Ράδιο Μεράκι 
http://resources.live24.gr/resources/images/stations/4facce03-8047-40ca-8e62-6de5786de266.png,/radio/generic.jsp?sid=2868,Ελληνική Mainstream,"[{'url': 'http://resources.live24.gr/resources/images/stations/4facce03-8047-40ca-8e62-6de5786de266.png', 'checksum': 'a88416cc5e9cc7e69921d489b9ebdeab', 'path': 'full/c02398fe146c735d7fabe2fbaae0cf9f5037732e.jpg'}]",Ασπίδα Greek-American Radio 
http://resources.live24.gr/resources/images/stations/655aeac3-72cc-48cd-a114-5e52bc446cf3.jpg,/radio/generic.jsp?sid=2774,Διεθνής Μουσική,"[{'url': 'http://resources.live24.gr/resources/images/stations/655aeac3-72cc-48cd-a114-5e52bc446cf3.jpg', 'checksum': '94b0d61aea88265a53959975a1157ce8', 'path': 'full/d7a42119993363a0c72c65d3f5c02bc8a919b674.jpg'}]",VOA 
http://resources.live24.gr/resources/images/stations/9d5ad647-b352-4044-8279-89aba82178a9.png,/radio/generic.jsp?sid=1363,Διεθνής Μουσική,"[{'url': 'http://resources.live24.gr/resources/images/stations/9d5ad647-b352-4044-8279-89aba82178a9.png', 'checksum': 'e8bdab3e1e26cd8d493520a43986434a', 'path': 'full/1535ed27c0987c681698c0bb728d4db638052770.jpg'}]",Smooth Motion FM 
http://resources.live24.gr/resources/images/stations/f85639f9-40b9-4db3-ab35-fae246b61656.png,/radio/generic.jsp?sid=2685,Ειδήσεις / Αθλητικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/f85639f9-40b9-4db3-ab35-fae246b61656.png', 'checksum': '2add6b15210ba2a8754c8e653f4f6ec9', 'path': 'full/c883a288fb47a238a5441a47d5bc7a401c3c26b6.jpg'}]",The Chicago Greek Hours 
http://resources.live24.gr/resources/images/stations/b1936a51-a348-4898-952d-63dae1bf048c.png,/radio/generic.jsp?sid=2951,Θρησκευτική,"[{'url': 'http://resources.live24.gr/resources/images/stations/b1936a51-a348-4898-952d-63dae1bf048c.png', 'checksum': '51fcc0c3b5a940a6738eb5e5dd30c21d', 'path': 'full/c76909a314eab0a5064d136db9eb574f33c259ed.jpg'}]",Orthodox Christian Radio 
http://resources.live24.gr/resources/images/stations/b19e88be-28d7-4ca8-8b00-93afc0936ba8.jpg,/radio/generic.jsp?sid=2680,Λαϊκά,"[{'url': 'http://resources.live24.gr/resources/images/stations/b19e88be-28d7-4ca8-8b00-93afc0936ba8.jpg', 'checksum': '716c376819fec3804ac85b9f1b7e5186', 'path': 'full/0de4bd0e23d080b8f56cc66fc577d3251ad034e9.jpg'}]",WPSO - Greek Radio 
http://resources.live24.gr/resources/images/stations/db675c7b-dbe3-488c-95eb-67b96b45cb00.png,/radio/generic.jsp?sid=1895,Διεθνής Μουσική,"[{'url': 'http://resources.live24.gr/resources/images/stations/db675c7b-dbe3-488c-95eb-67b96b45cb00.png', 'checksum': '099791c2f46fe2616e51dd1b1a10cf37', 'path': 'full/a29933bbacc6a8b9d28b9c5b987509144dc9dd44.jpg'}]",Radio Fusion 
http://resources.live24.gr/resources/images/stations/e23ebc5d-ec77-43e8-b375-bb79c1080257.png,/radio/generic.jsp?sid=1364,Διεθνής Μουσική,"[{'url': 'http://resources.live24.gr/resources/images/stations/e23ebc5d-ec77-43e8-b375-bb79c1080257.png', 'checksum': '9721de9102fa91e942dd83cd617f3732', 'path': 'full/7cd8f31ea42c4bdaf6f5df4ffef5207ab6529243.jpg'}]",Lounge Motion FM 
http://resources.live24.gr/resources/images/stations/0a3d25d8-a2d4-421b-9ae1-a7f5e21e36a5.jpg,/radio/generic.jsp?sid=2007,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/0a3d25d8-a2d4-421b-9ae1-a7f5e21e36a5.jpg', 'checksum': '837528b531996925492e640f88844857', 'path': 'full/678983cba57bf830755ac7eeb7b99c4fdce232df.jpg'}]",Hellenic World Radio 
