station_url,genre,name,images,image_urls
/radio/generic.jsp?sid=1884,Λαϊκά,Αμαρτία FM ,"[{'path': 'full/f86e8aa4d76318bee21ac581f9f41f3fb095ea0c.jpg', 'checksum': 'd67038f3af3711a384b2ea95361f4723', 'url': 'http://resources.live24.gr/resources/images/stations/63b1ada8-8dbc-4921-83c5-e8a024a4d037.jpg'}]",http://resources.live24.gr/resources/images/stations/63b1ada8-8dbc-4921-83c5-e8a024a4d037.jpg
/radio/generic.jsp?sid=2198,Ελληνική Mainstream,Αμαλιάδα Ράδιο ,"[{'path': 'full/8a4b206bd83a2a54b123153c4611a8b7ac8119f9.jpg', 'checksum': 'eb4e863e9dc62b2e716bb57103b92f32', 'url': 'http://resources.live24.gr/resources/images/stations/a3ca0a60-61bc-4d26-88ef-69baa4f9e499.png'}]",http://resources.live24.gr/resources/images/stations/a3ca0a60-61bc-4d26-88ef-69baa4f9e499.png
/radio/generic.jsp?sid=3019,Διάφορα Ελληνικά,Άλφα ΑΜ 1440 ,"[{'path': 'full/fde703eb32573b6db40ddc051045b6d66dd97bd4.jpg', 'checksum': 'fd11eb7923a18ad6e06f64e19d61952e', 'url': 'http://resources.live24.gr/resources/images/stations/44053b17-b6ac-4bf0-ac49-83d470c62612.png'}]",http://resources.live24.gr/resources/images/stations/44053b17-b6ac-4bf0-ac49-83d470c62612.png
/radio/generic.jsp?sid=1635,Θρησκευτική,Αληθινή Εν Θεώ Ζωή ,"[{'path': 'full/16d9c4c0451d5b6ddcc5db05adce66118e3adc2c.jpg', 'checksum': '5714a3b23f55b62534561f85cd383fe8', 'url': 'http://resources.live24.gr/resources/images/stations/4d0ceea0-227c-4fdf-a04e-be24439675ec.jpg'}]",http://resources.live24.gr/resources/images/stations/4d0ceea0-227c-4fdf-a04e-be24439675ec.jpg
/radio/generic.jsp?sid=2599,Διεθνής Μουσική,Ακμή Ράδιο ,"[{'path': 'full/af3d8cae24d3a187c61e14de17b468c51c3accaf.jpg', 'checksum': '9e1e42c56e319ef8daec10c5400f631e', 'url': 'http://resources.live24.gr/resources/images/stations/fee33c65-2f98-4c69-9cad-de27eabb0cef.png'}]",http://resources.live24.gr/resources/images/stations/fee33c65-2f98-4c69-9cad-de27eabb0cef.png
/radio/generic.jsp?sid=1097,Διεθνής Μουσική,Αίνιγμα Web Radio .,"[{'path': 'full/d9fbf5a09bdc4273fae518132e4106ad7cd6187d.jpg', 'checksum': '0ea4d14ba31504b85b2841e06852832b', 'url': 'http://resources.live24.gr/resources/images/stations/b61bb517-14c6-42fe-a79a-bb89006b85ea.png'}]",http://resources.live24.gr/resources/images/stations/b61bb517-14c6-42fe-a79a-bb89006b85ea.png
/radio/generic.jsp?sid=2634,Διεθνής Μουσική,Αίγινα Portal Radio ,"[{'path': 'full/7d966f7793e5ef649a2eedf5442f5b1192bf4ac5.jpg', 'checksum': 'f0c4425de066334b9c09df40f2f36eb8', 'url': 'http://resources.live24.gr/resources/images/stations/435194c5-f24c-4702-8be4-96b20ef1e80d.png'}]",http://resources.live24.gr/resources/images/stations/435194c5-f24c-4702-8be4-96b20ef1e80d.png
/radio/generic.jsp?sid=2268,Θρησκευτική,Άγιοι Ισίδωροι ,"[{'path': 'full/6d34dc8cb43e5ab1beeaff84e386f0d732df54e3.jpg', 'checksum': 'ee7ad8dd05a9bf1a29586cbc58d1c6c3', 'url': 'http://resources.live24.gr/resources/images/stations/0f60df53-662c-47a7-ab03-2a527bbd9fc5.jpg'}]",http://resources.live24.gr/resources/images/stations/0f60df53-662c-47a7-ab03-2a527bbd9fc5.jpg
/radio/generic.jsp?sid=2665,Λαϊκά,Αγιάσος Web Radio ,"[{'path': 'full/35f9c957216f5abbc58fd0ff6dfb59caa95bc75f.jpg', 'checksum': '7966cd685bb1f9add30b41ca32065fbd', 'url': 'http://resources.live24.gr/resources/images/stations/12f02cf4-52b5-4af6-a742-9d145491f7af.jpg'}]",http://resources.live24.gr/resources/images/stations/12f02cf4-52b5-4af6-a742-9d145491f7af.jpg
/radio/generic.jsp?sid=2962,Διεθνής Μουσική,Αfandub Radio ,"[{'path': 'full/3dbb56f137d6ad62617a6036227bf25ba743627a.jpg', 'checksum': '22c0f28750724b12668ebc45f6073e56', 'url': 'http://resources.live24.gr/resources/images/stations/fd9b9314-558d-4c70-9a09-9eef04b73493.png'}]",http://resources.live24.gr/resources/images/stations/fd9b9314-558d-4c70-9a09-9eef04b73493.png
/radio/generic.jsp?sid=1109,Διεθνής Μουσική,ZOO RnB Radio,"[{'path': 'full/23054f3ea87c852cad57a913702396c3117c4bb5.jpg', 'checksum': '66b035e6f929a659e86c91029660f35b', 'url': 'http://resources.live24.gr/resources/images/stations/bc46997b-856c-46f8-b04f-faae97ccec92.png'}]",http://resources.live24.gr/resources/images/stations/bc46997b-856c-46f8-b04f-faae97ccec92.png
